,INPUT,OUTPUT,IN_PACKETS,IN_OCTETS,TCP_FLAGS,PROTO,TOS,SRC_AS,DST_AS,SRC_MASK,DST_MASK
290,8,0,1,63,0,17,0,0,0,0,0
291,0,8,1,63,0,17,0,0,0,0,0
292,0,8,1,91,0,17,192,0,0,0,0
293,0,8,1,91,0,17,192,0,0,0,0
294,0,8,3,273,0,17,192,0,0,0,0
295,0,8,3,273,0,17,192,0,0,0,0
296,8,0,1,63,0,17,0,0,0,0,0
297,0,8,1,63,0,17,0,0,0,0,0
298,0,8,1,159,0,17,192,0,0,0,0
299,0,8,1,91,0,17,192,0,0,0,0
300,0,8,1,91,0,17,192,0,0,0,0
301,0,8,1,91,0,17,192,0,0,0,0
302,0,8,1,91,0,17,192,0,0,0,0
303,0,8,1,91,0,17,192,0,0,0,0
304,8,0,1,63,0,17,0,0,0,0,0
305,0,8,1,63,0,17,0,0,0,0,0
306,0,8,1,91,0,17,192,0,0,0,0
307,0,8,1,91,0,17,192,0,0,0,0
308,0,8,4,320,133,6,192,0,0,0,0
309,8,0,1,63,0,17,0,0,0,0,0
310,0,8,1,63,0,17,0,0,0,0,0
311,0,8,1,91,0,17,192,0,0,0,0
312,0,8,1,91,0,17,192,0,0,0,0
313,0,8,1,91,0,17,192,0,0,0,0
314,8,0,1,63,0,17,0,0,0,0,0
315,0,8,1,63,0,17,0,0,0,0,0
316,0,8,1,91,0,17,192,0,0,0,0
317,0,8,1,93,0,17,192,0,0,0,0
318,0,8,1,93,0,17,192,0,0,0,0
319,0,8,1,91,0,17,192,0,0,0,0
320,0,8,1,91,0,17,192,0,0,0,0
321,8,0,1,63,0,17,0,0,0,0,0
322,8,0,1,63,0,17,0,0,0,0,0
323,0,8,1,63,0,17,0,0,0,0,0
324,0,8,1,63,0,17,0,0,0,0,0
325,8,0,1,65,0,17,0,0,0,0,0
326,8,0,1,65,0,17,0,0,0,0,0
327,0,8,1,65,0,17,0,0,0,0,0
328,0,8,1,65,0,17,0,0,0,0,0
329,8,0,1,63,0,17,0,0,0,0,0
330,8,0,1,63,0,17,0,0,0,0,0
331,8,0,1,63,0,17,0,0,0,0,0
332,0,8,1,63,0,17,0,0,0,0,0
333,0,8,1,63,0,17,0,0,0,0,0
334,0,8,1,63,0,17,0,0,0,0,0
335,0,8,1,159,0,17,192,0,0,0,0
336,0,8,1,91,0,17,192,0,0,0,0
337,8,0,1,63,0,17,0,0,0,0,0
338,0,8,1,63,0,17,0,0,0,0,0
339,8,0,1,63,0,17,0,0,0,0,0
340,8,0,1,63,0,17,0,0,0,0,0
341,8,0,1,63,0,17,0,0,0,0,0
342,0,8,1,63,0,17,0,0,0,0,0
343,0,8,1,79,0,17,0,0,0,0,0
344,0,8,1,63,0,17,0,0,0,0,0
